Year,Month,Date,Hour,Place,Temperature,Temperature Category,Day Status,Ride Demand
2024,12,23,20,Seshadripuram,20.8990262750203,Moderate Temp (Clear),Working Day,114
2024,9,16,11,BTM Layout,25.95075386448857,Moderate Temp (Clear),Working Day,98
2023,11,9,23,Rajajinagar,14.94624447294487,Low Temp (Rainy),Working Day,49
2023,1,11,4,Seshadripuram,28.55638046654146,High Temp (Sunny),Working Day,23
2024,7,25,15,Hebbal,8.327664434170542,Low Temp (Rainy),Working Day,61
2024,1,20,5,Indiranagar,22.74094311647208,Moderate Temp (Clear),Holiday,25
2023,4,20,13,Shivajinagar,20.65690053928287,Moderate Temp (Clear),Working Day,81
2022,11,6,7,Marathahalli,26.647240284630595,Moderate Temp (Clear),Holiday,97
2023,9,1,21,Koramangala,25.605735642897603,Moderate Temp (Clear),Working Day,95
2023,1,20,6,Marathahalli,28.44872876015232,High Temp (Sunny),Working Day,20
2024,3,10,8,Vijaynagar,17.10815918504604,Low Temp (Rainy),Holiday,85
2022,12,8,17,Bellandur,15.35219632177849,Low Temp (Rainy),Working Day,53
2023,8,20,9,Whitefield,25.05482352240392,Moderate Temp (Clear),Holiday,100
2022,10,24,10,Domlur,24.69309577214016,Moderate Temp (Clear),Working Day,106
2023,3,1,14,JP Nagar,27.004343041532884,Moderate Temp (Clear),Working Day,75
2024,2,2,2,Malleswaram,26.455230012318367,Moderate Temp (Clear),Working Day,24
2024,3,4,22,R.T. Nagar,25.834492674098836,Moderate Temp (Clear),Working Day,90
2024,4,8,14,Jayanagar,32.48405432334651,High Temp (Sunny),Working Day,68
2024,2,18,5,Shivajinagar,35.43209680913248,High Temp (Sunny),Holiday,20
2023,11,12,15,JP Nagar,21.44937054772719,Moderate Temp (Clear),Holiday,108
2023,10,5,22,Shivajinagar,21.941573506812848,Moderate Temp (Clear),Working Day,85
2024,11,14,0,Jayanagar,23.492649820119357,Moderate Temp (Clear),Working Day,23
2024,8,11,7,Vasanthnagar,23.033332156741174,Moderate Temp (Clear),Holiday,96
2023,9,4,8,Marathahalli,21.197419845239047,Moderate Temp (Clear),Working Day,104
2023,1,3,16,Koramangala,22.73345751153355,Moderate Temp (Clear),Working Day,101
2023,4,10,7,Malleswaram,21.603563452873388,Moderate Temp (Clear),Working Day,93
2024,5,17,22,Domlur,30.87965403311172,High Temp (Sunny),Working Day,59
2022,9,21,7,Bellandur,17.90139249466224,Low Temp (Rainy),Working Day,59
2023,12,4,21,Koramangala,13.490442968318687,Low Temp (Rainy),Working Day,56
2024,11,3,2,Jeevanbhima Nagar,25.370647998444102,Moderate Temp (Clear),Holiday,22
2024,5,8,13,Indiranagar,18.301656388223847,Moderate Temp (Clear),Working Day,98
2023,9,26,8,HSR Layout,22.18067594861421,Moderate Temp (Clear),Working Day,95
2024,11,4,7,Bellandur,22.67393058721037,Moderate Temp (Clear),Working Day,115
2024,5,5,6,Whitefield,18.44870493994747,Moderate Temp (Clear),Holiday,25
2022,11,11,17,Vasanthnagar,32.07954842639917,High Temp (Sunny),Working Day,77
2023,1,17,8,Banashankari,23.008424090237828,Moderate Temp (Clear),Working Day,99
2024,6,4,4,BTM Layout,29.00790791481232,High Temp (Sunny),Working Day,22
2023,6,19,18,Malleswaram,24.87817374974628,Moderate Temp (Clear),Working Day,91
2024,1,24,15,Vijaynagar,19.00818279918981,Moderate Temp (Clear),Working Day,76
2024,12,16,4,Domlur,25.0566718762684,Moderate Temp (Clear),Working Day,21
2023,10,22,6,Yelahanka,16.25127507698697,Low Temp (Rainy),Holiday,22
2024,2,4,23,R.T. Nagar,20.526248300247808,Moderate Temp (Clear),Holiday,114
2024,9,9,8,R.T. Nagar,26.278002624729595,Moderate Temp (Clear),Working Day,108
2024,1,12,13,Banashankari,20.37563600860509,Moderate Temp (Clear),Working Day,96
2024,6,26,6,Rajajinagar,12.50230766893337,Low Temp (Rainy),Working Day,23
2024,6,28,8,Vijaynagar,20.46792105104212,Moderate Temp (Clear),Working Day,130
2024,3,18,13,Koramangala,25.51940776876726,Moderate Temp (Clear),Working Day,105
2023,7,19,2,Domlur,31.388298284236196,High Temp (Sunny),Working Day,23
2022,7,2,21,JP Nagar,19.909293445474965,Moderate Temp (Clear),Holiday,120
2023,2,11,19,Sadashivanagar,19.871260423240845,Moderate Temp (Clear),Holiday,124
2024,4,1,21,Domlur,21.623374236118703,Moderate Temp (Clear),Working Day,114
2022,11,17,15,HSR Layout,21.67990714239844,Moderate Temp (Clear),Working Day,86
2023,1,1,6,Bellandur,21.457146564602013,Moderate Temp (Clear),Holiday,21
2024,12,28,15,Vijaynagar,33.74463711233517,High Temp (Sunny),Holiday,71
2023,6,1,16,Rajajinagar,22.348827191512928,Moderate Temp (Clear),Working Day,105
2024,7,24,4,Seshadripuram,23.997795442500955,Moderate Temp (Clear),Working Day,24
2022,8,1,8,BTM Layout,16.70981022281686,Low Temp (Rainy),Working Day,59
2024,10,22,9,R.T. Nagar,19.62683812685704,Moderate Temp (Clear),Working Day,104
2024,2,12,10,Vijaynagar,23.37128422361551,Moderate Temp (Clear),Working Day,110
2024,6,19,21,Rajarajeshwari Nagar,14.217291721725092,Low Temp (Rainy),Working Day,62
2024,3,2,2,Rajarajeshwari Nagar,22.745216792835595,Moderate Temp (Clear),Holiday,21
2024,11,1,10,Vijaynagar,25.40989917293777,Moderate Temp (Clear),Working Day,103
2022,6,8,18,Ulsoor,21.774500755382903,Moderate Temp (Clear),Working Day,86
2024,4,4,18,Rajarajeshwari Nagar,36.09097868331628,High Temp (Sunny),Working Day,77
2022,4,26,5,Shivajinagar,19.223941342875687,Moderate Temp (Clear),Working Day,25
2023,9,22,16,Jayanagar,17.991699134037408,Low Temp (Rainy),Working Day,70
2023,6,18,8,Rajajinagar,23.34736392981741,Moderate Temp (Clear),Holiday,95
2023,11,3,10,Rajajinagar,41.88312992228545,High Temp (Sunny),Working Day,47
2023,1,4,21,Seshadripuram,18.42756934854694,Moderate Temp (Clear),Working Day,89
2024,10,7,20,Vijaynagar,20.77679175663588,Moderate Temp (Clear),Working Day,109
2024,12,14,11,Sadashivanagar,19.315995693502146,Moderate Temp (Clear),Holiday,137
2022,4,22,21,Malleswaram,20.497143330846637,Moderate Temp (Clear),Working Day,111
2024,9,9,21,Vasanthnagar,21.334922586227098,Moderate Temp (Clear),Working Day,113
2024,2,12,11,Mahadevapura,14.279383457947697,Low Temp (Rainy),Working Day,62
2022,8,1,22,Hebbal,25.037185408222896,Moderate Temp (Clear),Working Day,64
2024,5,3,4,Vijaynagar,19.600275333013947,Moderate Temp (Clear),Working Day,23
2023,5,26,11,R.T. Nagar,28.62363917661137,High Temp (Sunny),Working Day,45
2024,8,7,8,HSR Layout,21.448409914962824,Moderate Temp (Clear),Working Day,110
2023,3,28,9,Mahadevapura,26.923737727558706,Moderate Temp (Clear),Working Day,94
2024,1,21,1,Banashankari,21.23929239785025,Moderate Temp (Clear),Holiday,22
2022,7,14,9,Vijaynagar,21.37994219509548,Moderate Temp (Clear),Working Day,98
2024,4,14,7,Hebbal,20.679833601900683,Moderate Temp (Clear),Holiday,121
2022,5,23,13,Marathahalli,23.63758180810715,Moderate Temp (Clear),Working Day,76
2022,2,15,10,Whitefield,29.657095593750903,High Temp (Sunny),Working Day,59
2024,12,19,0,Yeshwantpur,19.364976449034973,Moderate Temp (Clear),Working Day,24
2024,7,16,7,Bellandur,29.122123791951704,High Temp (Sunny),Working Day,80
2024,8,8,4,Hebbal,11.383281139045268,Low Temp (Rainy),Working Day,20
2023,3,3,20,Banashankari,29.76003485474138,High Temp (Sunny),Working Day,69
2022,3,3,16,Rajarajeshwari Nagar,29.677475432701904,High Temp (Sunny),Working Day,67
2023,6,6,8,HSR Layout,20.741669138248284,Moderate Temp (Clear),Working Day,89
2024,12,2,4,Bannerghatta,20.267962611200897,Moderate Temp (Clear),Working Day,25
2022,4,10,23,JP Nagar,28.533818496725733,High Temp (Sunny),Holiday,80
2023,1,8,22,Seshadripuram,14.109486353008965,Low Temp (Rainy),Holiday,71
2022,7,18,12,Vijaynagar,25.82233677691289,Moderate Temp (Clear),Working Day,61
2024,8,16,21,Mahadevapura,22.478433263406966,Moderate Temp (Clear),Working Day,118
2024,9,27,21,Malleswaram,37.32381315695187,High Temp (Sunny),Working Day,80
2024,6,6,13,Jeevanbhima Nagar,20.62836618218647,Moderate Temp (Clear),Working Day,93
2024,2,15,18,Hebbal,28.316854898149185,High Temp (Sunny),Working Day,74
2022,10,10,4,Bannerghatta,11.701212169550947,Low Temp (Rainy),Working Day,23
2023,11,3,14,Jayanagar,18.549982278222597,Moderate Temp (Clear),Working Day,77
2024,9,19,3,HSR Layout,26.18034719372624,Moderate Temp (Clear),Working Day,23
2024,12,7,23,Domlur,27.05412942362841,Moderate Temp (Clear),Holiday,114
2024,7,18,0,Domlur,18.71245978353584,Moderate Temp (Clear),Working Day,25
2024,1,22,2,Banashankari,24.261861942248714,Moderate Temp (Clear),Working Day,20
2023,12,23,13,Malleswaram,33.33175564053592,High Temp (Sunny),Holiday,64
2022,6,17,6,Banashankari,26.587612717183564,Moderate Temp (Clear),Working Day,25
2023,6,21,12,Vijaynagar,20.454490935823863,Moderate Temp (Clear),Working Day,82
2023,10,3,0,HSR Layout,14.439501382379897,Low Temp (Rainy),Working Day,25
2024,5,23,2,Jeevanbhima Nagar,34.89577276807873,High Temp (Sunny),Working Day,22
2023,9,8,5,Mahadevapura,11.433088722104667,Low Temp (Rainy),Working Day,24
2023,1,4,16,Ulsoor,17.6835353209931,Low Temp (Rainy),Working Day,72
2024,3,24,13,Bellandur,25.493636982423403,Moderate Temp (Clear),Holiday,110
2023,4,28,6,Vijaynagar,21.42152437926883,Moderate Temp (Clear),Working Day,23
2024,1,9,6,Malleswaram,21.957160088389656,Moderate Temp (Clear),Working Day,25
2024,11,9,23,Hebbal,24.102115084497377,Moderate Temp (Clear),Holiday,105
2024,4,21,9,Banashankari,28.16892560043632,High Temp (Sunny),Holiday,84
2024,2,23,7,Mahadevapura,16.217905378119735,Low Temp (Rainy),Working Day,77
2023,10,9,0,Bannerghatta,19.13072413992173,Moderate Temp (Clear),Working Day,20
2023,12,12,2,R.T. Nagar,13.808728785160334,Low Temp (Rainy),Working Day,25
2022,8,28,5,Ulsoor,31.519177182230568,High Temp (Sunny),Holiday,22
2024,5,16,18,R.T. Nagar,26.22338820787726,Moderate Temp (Clear),Working Day,111
2023,10,26,9,Rajarajeshwari Nagar,17.31739148677031,Low Temp (Rainy),Working Day,76
2024,10,3,12,Malleswaram,13.290482288689478,Low Temp (Rainy),Working Day,64
2024,11,1,8,Jeevanbhima Nagar,37.489661752294,High Temp (Sunny),Working Day,82
2022,6,5,23,Banashankari,19.172738122160307,Moderate Temp (Clear),Holiday,99
2024,12,3,6,Malleswaram,22.022792979877376,Moderate Temp (Clear),Working Day,24
2024,4,13,19,Seshadripuram,20.885917018952,Moderate Temp (Clear),Holiday,140
2024,10,27,8,R.T. Nagar,23.578107044658456,Moderate Temp (Clear),Holiday,114
2024,2,26,18,Sadashivanagar,17.918615444667623,Low Temp (Rainy),Working Day,79
2024,3,12,7,Sadashivanagar,25.933379732713448,Moderate Temp (Clear),Working Day,108
2023,2,12,13,Domlur,38.21022055540297,High Temp (Sunny),Holiday,75
2024,2,23,3,Whitefield,12.102119644330058,Low Temp (Rainy),Working Day,24
2024,6,27,17,Domlur,18.382816492578755,Moderate Temp (Clear),Working Day,104
2023,5,2,9,Sadashivanagar,21.397436472617763,Moderate Temp (Clear),Working Day,104
2024,9,6,19,Mahadevapura,16.236608023916602,Low Temp (Rainy),Working Day,83
2024,4,15,11,Jayanagar,23.29927468738653,Moderate Temp (Clear),Working Day,112
2024,5,9,13,Domlur,19.690382937819525,Moderate Temp (Clear),Working Day,102
2024,4,20,15,Vijaynagar,20.835239239827597,Moderate Temp (Clear),Holiday,113
2023,4,28,18,Banashankari,26.52542881315376,Moderate Temp (Clear),Working Day,94
2022,6,14,15,Yeshwantpur,29.66542919066013,High Temp (Sunny),Working Day,38
2023,4,12,13,JP Nagar,37.08876178618852,High Temp (Sunny),Working Day,40
2023,11,18,0,Whitefield,23.32060463646441,Moderate Temp (Clear),Holiday,24
2023,9,12,17,Mahadevapura,22.52113176503183,Moderate Temp (Clear),Working Day,95
2022,7,8,17,Shivajinagar,28.192693607022537,High Temp (Sunny),Working Day,66
2024,9,12,10,Whitefield,15.640369621259328,Low Temp (Rainy),Working Day,75
2024,9,10,23,Vasanthnagar,29.38139647013103,High Temp (Sunny),Working Day,54
2023,2,16,13,Koramangala,28.678034162619923,High Temp (Sunny),Working Day,69
2024,11,17,12,Seshadripuram,28.125582139457244,High Temp (Sunny),Holiday,94
2024,10,6,20,Koramangala,31.77121650710248,High Temp (Sunny),Holiday,123
2024,7,28,22,Bannerghatta,16.832422136830637,Low Temp (Rainy),Holiday,83
2024,2,14,16,Banashankari,19.89325377882053,Moderate Temp (Clear),Working Day,118
2022,5,8,11,Yeshwantpur,19.002678832316946,Moderate Temp (Clear),Holiday,82
2022,11,10,19,Vasanthnagar,29.24626063280047,High Temp (Sunny),Working Day,50
2024,6,23,14,Sadashivanagar,33.05216400481382,High Temp (Sunny),Holiday,76
2024,2,8,16,Shivajinagar,28.9984159636437,High Temp (Sunny),Working Day,93
2024,12,21,11,Rajarajeshwari Nagar,20.896282233457647,Moderate Temp (Clear),Holiday,111
2024,7,18,3,Bellandur,23.130629297957228,Moderate Temp (Clear),Working Day,24
2024,4,28,10,R.T. Nagar,22.303244509297716,Moderate Temp (Clear),Holiday,125
2023,9,26,9,Banashankari,19.130641737228167,Moderate Temp (Clear),Working Day,101
2024,9,27,1,Ulsoor,20.94696242571385,Moderate Temp (Clear),Working Day,24
2024,3,20,18,Mahadevapura,24.828538759368595,Moderate Temp (Clear),Working Day,111
2024,9,1,5,Domlur,32.57278970835611,High Temp (Sunny),Holiday,22
2023,5,10,11,Bannerghatta,13.704189774500003,Low Temp (Rainy),Working Day,64
2024,8,28,8,Koramangala,6.118761505025468,Low Temp (Rainy),Working Day,91
2024,8,9,11,Seshadripuram,20.14124340564788,Moderate Temp (Clear),Working Day,84
2024,1,24,13,JP Nagar,16.762781268056788,Low Temp (Rainy),Working Day,65
2024,5,19,5,Ulsoor,35.323604696199766,High Temp (Sunny),Holiday,20
2024,2,13,10,Banashankari,10.790248496710692,Low Temp (Rainy),Working Day,75
2024,4,19,20,Jeevanbhima Nagar,30.01739481103447,High Temp (Sunny),Working Day,61
2024,12,15,11,Bellandur,20.89766292098284,Moderate Temp (Clear),Holiday,128
2024,7,4,1,Vijaynagar,27.33334667312884,Moderate Temp (Clear),Working Day,23
2024,9,12,14,HSR Layout,15.233365589203144,Low Temp (Rainy),Working Day,68
2023,7,3,14,Domlur,23.40514388008227,Moderate Temp (Clear),Working Day,85
2023,7,15,14,Malleswaram,21.33421313009793,Moderate Temp (Clear),Holiday,110
2023,5,23,2,Sadashivanagar,21.265291735236307,Moderate Temp (Clear),Working Day,20
2024,10,24,3,Yeshwantpur,27.944850837077784,Moderate Temp (Clear),Working Day,23
2023,2,1,6,HSR Layout,24.50786909345324,Moderate Temp (Clear),Working Day,24
2024,2,8,20,HSR Layout,12.20580037870105,Low Temp (Rainy),Working Day,59
2022,11,7,19,Hebbal,28.472842631395626,High Temp (Sunny),Working Day,62
2023,9,7,4,HSR Layout,33.014131470144434,High Temp (Sunny),Working Day,22
2024,1,4,11,Yelahanka,28.361097654023208,High Temp (Sunny),Working Day,68
2023,7,1,9,Rajajinagar,33.82467458753376,High Temp (Sunny),Holiday,55
2024,4,4,17,Seshadripuram,26.876954869368635,Moderate Temp (Clear),Working Day,105
2024,1,14,15,Rajajinagar,22.348288258312465,Moderate Temp (Clear),Holiday,115
2023,12,27,20,Rajajinagar,19.53634014663157,Moderate Temp (Clear),Working Day,92
2023,9,28,11,Koramangala,25.144730712519205,Moderate Temp (Clear),Working Day,80
2024,4,6,12,Koramangala,24.80808575050546,Moderate Temp (Clear),Holiday,118
2023,10,24,17,Jeevanbhima Nagar,26.021570481341293,Moderate Temp (Clear),Working Day,99
2023,5,5,0,Vasanthnagar,29.32186620090047,High Temp (Sunny),Working Day,25
2023,7,3,17,Indiranagar,17.355137760635476,Low Temp (Rainy),Working Day,55
2024,10,26,0,Bannerghatta,24.87710347988703,Moderate Temp (Clear),Holiday,23
2024,12,16,23,Hebbal,24.350335973027704,Moderate Temp (Clear),Working Day,111
2024,1,1,9,Shivajinagar,21.253858533695304,Moderate Temp (Clear),Working Day,108
2024,6,5,15,Marathahalli,23.83239736275301,Moderate Temp (Clear),Working Day,86
2023,6,19,5,Shivajinagar,17.670889637814987,Low Temp (Rainy),Working Day,24
2022,1,3,15,Yeshwantpur,18.13127491411022,Moderate Temp (Clear),Working Day,75
2024,9,26,22,Bannerghatta,27.24180095103945,Moderate Temp (Clear),Working Day,93
2024,8,17,17,HSR Layout,32.696918891943646,High Temp (Sunny),Holiday,114
2023,4,2,6,R.T. Nagar,35.15041772958209,High Temp (Sunny),Holiday,24
2024,11,4,20,Yelahanka,25.232830662543357,Moderate Temp (Clear),Working Day,101
2022,4,17,7,Banashankari,14.848933639259029,Low Temp (Rainy),Holiday,71
2023,10,27,22,R.T. Nagar,27.104838397134863,Moderate Temp (Clear),Working Day,81
2023,9,11,19,Vasanthnagar,9.878050119337065,Low Temp (Rainy),Working Day,76
2024,9,14,19,Hebbal,17.964708080948178,Low Temp (Rainy),Holiday,102
2024,3,12,10,Marathahalli,13.756063566159751,Low Temp (Rainy),Working Day,89
2024,1,21,1,BTM Layout,16.582843414907003,Low Temp (Rainy),Holiday,22
2024,7,12,23,BTM Layout,20.590794295289548,Moderate Temp (Clear),Working Day,106
2023,8,24,11,HSR Layout,26.548035072951677,Moderate Temp (Clear),Working Day,78
2024,8,14,20,Bannerghatta,24.37321770585883,Moderate Temp (Clear),Working Day,124
2024,3,20,1,Koramangala,20.3893649051491,Moderate Temp (Clear),Working Day,25
2024,11,24,1,Koramangala,34.81994029770928,High Temp (Sunny),Holiday,25
2024,6,15,4,Vasanthnagar,16.545301712896595,Low Temp (Rainy),Holiday,24
2024,4,7,9,Banashankari,30.599543654046748,High Temp (Sunny),Holiday,89
2023,11,1,7,Koramangala,15.352573361337743,Low Temp (Rainy),Working Day,83
2024,6,21,12,Bannerghatta,25.92494491822464,Moderate Temp (Clear),Working Day,86
2022,12,20,6,Jeevanbhima Nagar,24.20039804839348,Moderate Temp (Clear),Working Day,22
2023,1,23,20,Vasanthnagar,22.26439900313558,Moderate Temp (Clear),Working Day,87
2024,8,8,9,Bellandur,22.853956858447365,Moderate Temp (Clear),Working Day,120
2022,4,6,23,HSR Layout,43.00346280480446,High Temp (Sunny),Working Day,53
2024,3,7,4,Malleswaram,22.53108305429892,Moderate Temp (Clear),Working Day,25
2023,3,7,23,Seshadripuram,17.400728943048048,Low Temp (Rainy),Working Day,45
2023,9,16,1,Vasanthnagar,24.15570684716012,Moderate Temp (Clear),Holiday,25
2022,2,13,8,Bellandur,22.509261135315764,Moderate Temp (Clear),Holiday,79
2024,8,26,14,Bannerghatta,17.806393600160668,Low Temp (Rainy),Working Day,56
2024,6,10,10,Koramangala,20.24151835842441,Moderate Temp (Clear),Working Day,114
2024,3,11,13,Bannerghatta,10.163519784996073,Low Temp (Rainy),Working Day,47
2024,12,10,1,Shivajinagar,19.678774879646543,Moderate Temp (Clear),Working Day,25
2023,3,25,12,Yelahanka,28.87679939396601,High Temp (Sunny),Holiday,76
2023,5,9,12,Shivajinagar,11.494707704139214,Low Temp (Rainy),Working Day,54
2024,2,18,5,Mahadevapura,16.19295297026513,Low Temp (Rainy),Holiday,21
2023,11,23,19,BTM Layout,19.865225627276292,Moderate Temp (Clear),Working Day,114
2023,6,15,12,Whitefield,32.46049984156677,High Temp (Sunny),Working Day,73
2024,9,25,21,Seshadripuram,26.482048502891388,Moderate Temp (Clear),Working Day,100
2024,8,18,10,Yeshwantpur,24.908444933870417,Moderate Temp (Clear),Holiday,123
2023,4,2,9,Malleswaram,23.58573204997075,Moderate Temp (Clear),Holiday,124
2024,11,25,12,Jayanagar,26.7177869639396,Moderate Temp (Clear),Working Day,100
2022,7,25,2,Mahadevapura,28.187711401003,High Temp (Sunny),Working Day,21
2024,6,26,13,Koramangala,18.32759908849909,Moderate Temp (Clear),Working Day,119
2022,5,5,14,Yeshwantpur,30.82588433618022,High Temp (Sunny),Working Day,29
2022,5,28,12,Jayanagar,5.896522073651671,Low Temp (Rainy),Holiday,68
2022,11,28,8,Hebbal,30.730972922728448,High Temp (Sunny),Working Day,57
2024,11,20,7,Malleswaram,25.419955708566757,Moderate Temp (Clear),Working Day,130
2023,8,23,21,Rajarajeshwari Nagar,26.52828368693152,Moderate Temp (Clear),Working Day,100
2022,10,27,7,Jayanagar,34.806439047376905,High Temp (Sunny),Working Day,54
2024,11,24,1,Ulsoor,28.4661109989824,High Temp (Sunny),Holiday,24
2022,10,21,3,Jeevanbhima Nagar,16.616120795482775,Low Temp (Rainy),Working Day,21
2024,6,17,21,Vijaynagar,22.418079096663117,Moderate Temp (Clear),Working Day,110
2023,6,10,3,Rajarajeshwari Nagar,24.641241813402385,Moderate Temp (Clear),Holiday,20
2023,4,24,10,Jeevanbhima Nagar,25.041656642759325,Moderate Temp (Clear),Working Day,73
2024,4,26,18,Seshadripuram,29.527179509117268,High Temp (Sunny),Working Day,72
2022,8,19,0,Domlur,32.19803432167687,High Temp (Sunny),Working Day,23
2024,4,7,0,Sadashivanagar,20.47528243834599,Moderate Temp (Clear),Holiday,23
2024,1,13,18,Indiranagar,26.26802150370154,Moderate Temp (Clear),Holiday,149
2023,8,25,15,Rajajinagar,29.4647410474018,High Temp (Sunny),Working Day,73
2024,4,14,16,Vijaynagar,17.086889446808886,Low Temp (Rainy),Holiday,116
2024,8,3,13,Vijaynagar,13.55394325404344,Low Temp (Rainy),Holiday,113
2023,5,8,13,BTM Layout,31.285950930560965,High Temp (Sunny),Working Day,46
2022,11,8,12,Banashankari,36.01972419725426,High Temp (Sunny),Working Day,43
2024,7,15,11,HSR Layout,32.43522506203932,High Temp (Sunny),Working Day,84
2023,4,7,13,Whitefield,29.582878127816542,High Temp (Sunny),Working Day,59
2024,4,3,22,Whitefield,19.521330742372744,Moderate Temp (Clear),Working Day,85
2024,8,1,3,Banashankari,22.731096156595896,Moderate Temp (Clear),Working Day,22
2024,10,16,1,Domlur,22.514757666509997,Moderate Temp (Clear),Working Day,21
2024,3,17,22,Sadashivanagar,19.76303400078692,Moderate Temp (Clear),Holiday,124
2023,11,25,21,Rajajinagar,15.208958583417049,Low Temp (Rainy),Holiday,111
2023,8,6,13,Seshadripuram,18.522704236775624,Moderate Temp (Clear),Holiday,122
2024,3,21,20,Jeevanbhima Nagar,21.095589813077197,Moderate Temp (Clear),Working Day,121
2024,1,25,5,HSR Layout,21.94413700060059,Moderate Temp (Clear),Working Day,21
2022,4,6,13,Jayanagar,17.47509862739202,Low Temp (Rainy),Working Day,49
2022,6,15,15,Jeevanbhima Nagar,22.79428364799221,Moderate Temp (Clear),Working Day,88
2024,4,11,18,HSR Layout,29.467971039003075,High Temp (Sunny),Working Day,84
2024,12,22,3,Vijaynagar,20.62870388760528,Moderate Temp (Clear),Holiday,24
2024,9,13,3,Marathahalli,18.541809178003263,Moderate Temp (Clear),Working Day,25
2024,4,11,5,HSR Layout,5.246321384280421,Low Temp (Rainy),Working Day,25
2024,9,20,3,Seshadripuram,26.690045075093195,Moderate Temp (Clear),Working Day,25
2024,4,15,12,Mahadevapura,27.687393822061907,Moderate Temp (Clear),Working Day,94
2024,12,15,15,Marathahalli,23.9390861759578,Moderate Temp (Clear),Holiday,107
2023,7,11,2,Marathahalli,30.838439922832222,High Temp (Sunny),Working Day,21
2022,9,11,16,Vasanthnagar,23.403098989749672,Moderate Temp (Clear),Holiday,114
2024,12,1,13,Indiranagar,11.74032305822811,Low Temp (Rainy),Holiday,82
2023,6,19,5,Ulsoor,30.61169321890435,High Temp (Sunny),Working Day,20
2022,5,26,4,Vijaynagar,33.845169376142806,High Temp (Sunny),Working Day,25
2024,6,26,5,Rajajinagar,18.763789000942523,Moderate Temp (Clear),Working Day,22
2024,4,6,3,Marathahalli,6.538125415379735,Low Temp (Rainy),Holiday,25
2024,6,11,23,Hebbal,29.18777867946123,High Temp (Sunny),Working Day,65
2024,5,4,9,Mahadevapura,17.814455934662544,Low Temp (Rainy),Holiday,93
2024,7,27,22,Jeevanbhima Nagar,27.92250516970941,Moderate Temp (Clear),Holiday,134
2023,8,18,19,Rajarajeshwari Nagar,30.77331870605873,High Temp (Sunny),Working Day,69
2024,3,22,12,Yelahanka,24.023839046867383,Moderate Temp (Clear),Working Day,97
2022,9,2,6,BTM Layout,15.363921575237663,Low Temp (Rainy),Working Day,22
2023,10,6,5,Malleswaram,27.764816331064083,Moderate Temp (Clear),Working Day,21
2024,12,23,6,Vijaynagar,13.68710133064372,Low Temp (Rainy),Working Day,24
2024,10,26,6,Jayanagar,10.519028586620806,Low Temp (Rainy),Holiday,23
2023,2,11,23,Bellandur,25.484747614558607,Moderate Temp (Clear),Holiday,119
2024,11,20,7,Shivajinagar,24.42699144266141,Moderate Temp (Clear),Working Day,105
2023,7,13,4,Jeevanbhima Nagar,20.496540719446312,Moderate Temp (Clear),Working Day,21
2023,12,28,4,Malleswaram,18.122783369170342,Moderate Temp (Clear),Working Day,25
2023,9,2,1,Seshadripuram,30.439800364098986,High Temp (Sunny),Holiday,23
2022,5,22,21,Marathahalli,27.473076569997385,Moderate Temp (Clear),Holiday,128
2024,1,3,2,Jeevanbhima Nagar,28.198945948778984,High Temp (Sunny),Working Day,25
2024,3,26,20,JP Nagar,20.613243760210693,Moderate Temp (Clear),Working Day,107
2022,7,3,10,R.T. Nagar,21.01895398943932,Moderate Temp (Clear),Holiday,95
2024,7,18,2,Rajajinagar,27.822023131992104,Moderate Temp (Clear),Working Day,22
2024,10,27,10,Yeshwantpur,24.67650557063301,Moderate Temp (Clear),Holiday,126
2023,11,6,17,Rajarajeshwari Nagar,19.596567415819003,Moderate Temp (Clear),Working Day,97
2023,7,7,21,Banashankari,19.79263811119479,Moderate Temp (Clear),Working Day,112
2023,4,24,6,Domlur,36.79447962370633,High Temp (Sunny),Working Day,25
2023,11,8,11,Whitefield,29.133853749264027,High Temp (Sunny),Working Day,68
2023,1,6,4,Yeshwantpur,15.004972285897036,Low Temp (Rainy),Working Day,21
2024,6,15,11,Bannerghatta,26.10351563001741,Moderate Temp (Clear),Holiday,112
2023,8,13,5,Jeevanbhima Nagar,27.937071853691755,Moderate Temp (Clear),Holiday,21
2024,1,8,16,Seshadripuram,16.47953141980465,Low Temp (Rainy),Working Day,75
2022,1,9,23,HSR Layout,18.2602050807333,Moderate Temp (Clear),Holiday,84
2023,4,13,20,Yeshwantpur,15.762433211251247,Low Temp (Rainy),Working Day,67
2024,3,21,8,Yelahanka,10.869427145444938,Low Temp (Rainy),Working Day,83
2023,8,10,12,Marathahalli,19.632333381574245,Moderate Temp (Clear),Working Day,75
2024,2,16,15,Shivajinagar,22.100299615401568,Moderate Temp (Clear),Working Day,98
2024,5,10,8,Jeevanbhima Nagar,12.746570150546008,Low Temp (Rainy),Working Day,79
2024,5,16,17,Koramangala,28.78200511463165,High Temp (Sunny),Working Day,100
2023,8,10,7,JP Nagar,17.744977355550795,Low Temp (Rainy),Working Day,61
2023,8,28,8,Bannerghatta,21.5829708315954,Moderate Temp (Clear),Working Day,85
2022,4,22,13,Vijaynagar,20.65412350305803,Moderate Temp (Clear),Working Day,87
2023,5,3,8,Bannerghatta,16.452735820943044,Low Temp (Rainy),Working Day,52
2024,4,1,7,Whitefield,20.734957649685427,Moderate Temp (Clear),Working Day,110
